generic_name,cardiotoxicity__binary,cardiotoxicity__ternary,dermatological_toxicity__binary,dermatological_toxicity__ternary,hematological__binary,hematological__ternary,infertility__binary,infertility__ternary,liver_toxicity__binary,liver_toxicity__ternary,ototoxicity__binary,ototoxicity__ternary,pulmonary_toxicity__binary,pulmonary_toxicity__ternary,renal_toxicity__binary,renal_toxicity__ternary,SMILES_standardized,SMILES_clean,SMILES_filled,SMILES_source,name_best_query,name_corrected,SMILES_recovered,SMILES_recovered_source,recovery_status,SMILES_recovered_v3,SMILES_recovered_v3_source,recovery_debug_v3
ACETAZOLAMIDE,0,,1,Most,1,Most,0,,1,Most,1,Most,1,,1,Most,CC(=O)Nc1nnc(S(N)(=O)=O)s1,cc(=o)nc1nnc(s(n)(=o)=o)s1,CC(=O)Nc1nnc(S(N)(=O)=O)s1,Original,,,,,,,,
ACETOHYDROXAMIC ACID,0,,1,,1,Most,1,Most,0,,0,,1,,1,Most,CC(=O)NO,cc(=o)no,CC(=O)NO,Original,,,,,,,,
ACETYLCHOLINE CHLORIDE,1,,0,,0,,0,,0,,0,,1,,0,,CC(=O)OCC[N+](C)(C)C,cc(=o)occ[n+](c)(c)c,CC(=O)OCC[N+](C)(C)C,Original,,,,,,,,
ACETYLCYSTEINE,0,,1,Most,0,,0,,0,,0,,1,Most,0,,CC(=O)N[C@@H](CS)C(=O)O,cc(=o)n[c@@h](cs)c(=o)o,CC(=O)N[C@@H](CS)C(=O)O,Original,,,,,,,,
ACETYLSALICYLIC ACID,0,,1,,1,Most,0,,0,,1,,0,,1,Most,CC(=O)Oc1ccccc1C(=O)O,cc(=o)oc1ccccc1c(=o)o,CC(=O)Oc1ccccc1C(=O)O,Original,,,,,,,,
ACITRETIN,1,Most,1,Most,1,Most,0,,1,Most,1,,0,,1,,COc1cc(C)c(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)c(C)c1C,coc1cc(c)c(/c=c/c(c)=c/c=c/c(c)=c/c(=o)o)c(c)c1c,COc1cc(C)c(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)c(C)c1C,Original,,,,,,,,
ACYCLOVIR,0,,1,,0,,0,,0,,0,,0,,0,,Nc1nc2c(ncn2COCCO)c(=O)[nH]1,nc1nc2c(ncn2cocco)c(=o)[nh]1,Nc1nc2c(ncn2COCCO)c(=O)[nH]1,Original,,,,,,,,
ADEFOVIR DIPIVOXIL,0,,1,,0,,0,,1,Most,0,,0,,1,Most,CC(C)(C)C(=O)OCOP(=O)(COCCn1cnc2c(N)ncnc21)OCOC(=O)C(C)(C)C,cc(c)(c)c(=o)ocop(=o)(coccn1cnc2c(n)ncnc21)ococ(=o)c(c)(c)c,CC(C)(C)C(=O)OCOP(=O)(COCCn1cnc2c(N)ncnc21)OCOC(=O)C(C)(C)C,Original,,,,,,,,
ADENOSINE,1,Most,0,,0,,0,,0,,0,,1,Most,0,,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,nc1ncnc2c1ncn2[c@@h]1o[c@h](co)[c@@h](o)[c@h]1o,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,Original,,,,,,,,
AFATINIB,1,Most,1,Most,1,,1,Most,1,Most,0,,1,Most,1,Most,CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,cn(c)c/c=c/c(=o)nc1cc2c(nc3ccc(f)c(cl)c3)ncnc2cc1o[c@h]1ccoc1,CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,Original,,,,,,,,
ALBENDAZOLE,0,,1,,1,Most,0,,1,Most,0,,0,,1,Most,CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,cccsc1ccc2[nh]c(nc(=o)oc)nc2c1,CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,Original,,,,,,,,
ALBUTEROL,1,Most,1,Most,0,,0,,0,,0,,1,Most,0,,CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,cc(c)(c)ncc(o)c1ccc(o)c(co)c1,CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,Original,,,,,,,,
ALCOHOL,1,Most,0,,0,,0,,0,,0,,0,,0,,CCO,cco,CCO,Original,,,,,,,,
ALECTINIB HYDROCHLORIDE,1,,1,Most,1,Most,0,,1,Most,0,,1,Most,1,Most,CCc1cc2c(cc1N1CCC(N3CCOCC3)CC1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,ccc1cc2c(cc1n1ccc(n3ccocc3)cc1)c(c)(c)c1[nh]c3cc(c#n)ccc3c1c2=o,CCc1cc2c(cc1N1CCC(N3CCOCC3)CC1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,Original,,,,,,,,
ALENDRONATE SODIUM,0,,1,Most,0,,0,,0,,0,,1,,1,Most,NCCCC(O)(P(=O)(O)O)P(=O)(O)O,ncccc(o)(p(=o)(o)o)p(=o)(o)o,NCCCC(O)(P(=O)(O)O)P(=O)(O)O,Original,,,,,,,,
ALFENTANIL HYDROCHLORIDE,1,Most,1,,0,,1,,0,,0,,1,Most,1,,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCn2nnn(CC)c2=O)CC1,ccc(=o)n(c1ccccc1)c1(coc)ccn(ccn2nnn(cc)c2=o)cc1,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCn2nnn(CC)c2=O)CC1,Original,,,,,,,,
ALFUZOSIN HYDROCHLORIDE,1,Most,1,Most,0,,0,,1,Most,0,,0,,0,,COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC,coc1cc2nc(n(c)cccnc(=o)c3ccco3)nc(n)c2cc1oc,COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC,Original,,,,,,,,
ALLOPURINOL,0,,1,Most,1,Most,0,,1,Most,0,,0,,1,Most,Oc1ncnc2[nH]ncc12,oc1ncnc2[nh]ncc12,Oc1ncnc2[nH]ncc12,Original,,,,,,,,
ALMOTRIPTAN,1,Most,1,,0,,1,Most,0,,0,,0,,0,,CN(C)CCc1c[nH]c2ccc(CS(=O)(=O)N3CCCC3)cc12,cn(c)ccc1c[nh]c2ccc(cs(=o)(=o)n3cccc3)cc12,CN(C)CCc1c[nH]c2ccc(CS(=O)(=O)N3CCCC3)cc12,Original,,,,,,,,
ALOSETRON HYDROCHLORIDE,0,,1,Most,0,,0,,0,,0,,0,,0,,Cc1[nH]cnc1CN1CCc2c(c3ccccc3n2C)C1=O,cc1[nh]cnc1cn1ccc2c(c3ccccc3n2c)c1=o,Cc1[nH]cnc1CN1CCc2c(c3ccccc3n2C)C1=O,Original,,,,,,,,
ALPELISIB,0,,1,Most,1,Most,1,Most,1,,0,,1,Most,1,,Cc1nc(NC(=O)N2CCC[C@H]2C(N)=O)sc1-c1ccnc(C(C)(C)C(F)(F)F)c1,cc1nc(nc(=o)n2ccc[c@h]2c(n)=o)sc1-c1ccnc(c(c)(c)c(f)(f)f)c1,Cc1nc(NC(=O)N2CCC[C@H]2C(N)=O)sc1-c1ccnc(C(C)(C)C(F)(F)F)c1,Original,,,,,,,,
ALPRAZOLAM,0,,1,Most,0,,0,,1,Most,0,,1,Most,0,,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,cc1nnc2n1-c1ccc(cl)cc1c(c1ccccc1)=nc2,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,Original,,,,,,,,
ALPROSTADIL,0,,1,Most,1,,0,,0,,0,,0,,0,,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)O,ccccc[c@h](o)/c=c/[c@h]1[c@h](o)cc(=o)[c@@h]1ccccccc(=o)o,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)O,Original,,,,,,,,
AMANTADINE,1,Most,1,Most,0,,1,Most,0,,0,,1,Most,1,Most,NC12CC3CC(CC(C3)C1)C2,nc12cc3cc(cc(c3)c1)c2,NC12CC3CC(CC(C3)C1)C2,Original,,,,,,,,
AMANTADINE HYDROCHLORIDE,1,Most,1,Most,1,,1,,0,,0,,1,Most,1,Most,NC12CC3CC(CC(C3)C1)C2,nc12cc3cc(cc(c3)c1)c2,NC12CC3CC(CC(C3)C1)C2,Original,,,,,,,,
AMBRISENTAN,1,Most,1,,1,Most,1,Most,0,,0,,1,Most,0,,COC(c1ccccc1)(c1ccccc1)[C@H](Oc1nc(C)cc(C)n1)C(=O)O,coc(c1ccccc1)(c1ccccc1)[c@h](oc1nc(c)cc(c)n1)c(=o)o,COC(c1ccccc1)(c1ccccc1)[C@H](Oc1nc(C)cc(C)n1)C(=O)O,Original,,,,,,,,
AMIFAMPRIDINE PHOSPHATE,1,,1,,0,,0,,1,,0,,0,,0,,Nc1ccncc1N,nc1ccncc1n,Nc1ccncc1N,Original,,,,,,,,
AMIFOSTINE,1,Most,1,Most,0,,1,Most,0,,0,,0,,1,,NCCCNCCSP(=O)(O)O,ncccnccsp(=o)(o)o,NCCCNCCSP(=O)(O)O,Original,,,,,,,,
AMIKACIN SULFATE,0,,1,,1,,0,,0,,1,Most,1,,1,Most,NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O,ncc[c@h](o)c(=o)n[c@@h]1c[c@h](n)[c@@h](o[c@h]2o[c@h](cn)[c@@h](o)[c@h](o)[c@h]2o)[c@h](o)[c@h]1o[c@h]1o[c@h](co)[c@@h](o)[c@h](n)[c@h]1o,NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O,Original,,,,,,,,
AMILORIDE HYDROCHLORIDE,1,Most,1,,1,,0,,1,,0,,0,,1,Most,N=C(N)NC(=O)c1nc(Cl)c(N)nc1N,n=c(n)nc(=o)c1nc(cl)c(n)nc1n,N=C(N)NC(=O)c1nc(Cl)c(N)nc1N,Original,,,,,,,,
AMINOCAPROIC ACID,1,Most,1,,1,Most,1,Most,1,,0,,1,,1,Most,NCCCCCC(=O)O,ncccccc(=o)o,NCCCCCC(=O)O,Original,,,,,,,,
AMINOPHYLLINE,1,Most,1,Most,0,,1,Most,1,Most,0,,0,,1,,Cn1c(=O)c2[nH]cnc2n(C)c1=O.Cn1c(=O)c2[nH]cnc2n(C)c1=O.NCCN,cn1c(=o)c2[nh]cnc2n(c)c1=o.cn1c(=o)c2[nh]cnc2n(c)c1=o.nccn,Cn1c(=O)c2[nH]cnc2n(C)c1=O.Cn1c(=O)c2[nH]cnc2n(C)c1=O.NCCN,Original,,,,,,,,
AMIODARONE HYDROCHLORIDE,1,Most,1,Most,1,Most,1,Most,1,Most,0,,1,Most,1,Most,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,ccccc1oc2ccccc2c1c(=o)c1cc(i)c(occn(cc)cc)c(i)c1,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,Original,,,,,,,,
AMISULPRIDE,1,Most,0,,1,,1,Most,0,,0,,0,,0,,CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC,ccn1cccc1cnc(=o)c1cc(s(=o)(=o)cc)c(n)cc1oc,CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC,Original,,,,,,,,
AMITRIPTYLINE HYDROCHLORIDE,1,Most,1,Most,1,Most,0,,1,,0,,0,,0,,CN(C)CCC=C1c2ccccc2CCc2ccccc21,cn(c)ccc=c1c2ccccc2ccc2ccccc21,CN(C)CCC=C1c2ccccc2CCc2ccccc21,Original,,,,,,,,
AMLODIPINE,1,Most,0,,0,,0,,1,Most,0,,1,Most,0,,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,ccoc(=o)c1=c(coccn)nc(c)=c(c(=o)oc)c1c1ccccc1cl,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,Original,,,,,,,,
AMLODIPINE BESYLATE,1,Most,1,,1,,0,,1,,0,,0,,0,,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl.O=S(=O)(O)c1ccccc1,ccoc(=o)c1=c(coccn)nc(c)=c(c(=o)oc)c1c1ccccc1cl.o=s(=o)(o)c1ccccc1,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl.O=S(=O)(O)c1ccccc1,Original,,,,,,,,
AMMONIA N-13,0,,0,,0,,0,,0,,0,,0,,0,,N,n,N,Original,,,,,,,,
AMOXAPINE,1,,1,,1,,1,,1,,0,,0,,1,,Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2,clc1ccc2c(c1)c(n1ccncc1)=nc1ccccc1o2,Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2,Original,,,,,,,,
AMOXICILLIN,0,,1,Most,1,Most,0,,1,,0,,0,,1,Most,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,cc1(c)s[c@@h]2[c@h](nc(=o)[c@h](n)c3ccc(o)cc3)c(=o)n2[c@h]1c(=o)o,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,Original,,,,,,,,
AMPHETAMINE,1,Most,1,Most,0,,0,,0,,0,,0,,0,,CC(N)Cc1ccccc1,cc(n)cc1ccccc1,CC(N)Cc1ccccc1,Original,,,,,,,,
AMPHETAMINE SULFATE,1,Most,1,Most,0,,0,,0,,0,,0,,0,,CC(N)Cc1ccccc1,cc(n)cc1ccccc1,CC(N)Cc1ccccc1,Original,,,,,,,,
AMPHOTERICIN B,1,,1,Most,1,,1,,0,,0,,1,,1,,C[C@@H]1[C@H](O)[C@@H](C)/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N)[C@@H]2O)C[C@@H]2O[C@](O)(C[C@@H](O)C[C@@H](O)[C@H](O)CC[C@@H](O)C[C@@H](O)CC(=O)O[C@H]1C)C[C@H](O)[C@H]2C(=O)O,c[c@@h]1[c@h](o)[c@@h](c)/c=c/c=c/c=c/c=c/c=c/c=c/c=c/[c@h](o[c@@h]2o[c@h](c)[c@@h](o)[c@h](n)[c@@h]2o)c[c@@h]2o[c@](o)(c[c@@h](o)c[c@@h](o)[c@h](o)cc[c@@h](o)c[c@@h](o)cc(=o)o[c@h]1c)c[c@h](o)[c@h]2c(=o)o,C[C@@H]1[C@H](O)[C@@H](C)/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N)[C@@H]2O)C[C@@H]2O[C@](O)(C[C@@H](O)C[C@@H](O)[C@H](O)CC[C@@H](O)C[C@@H](O)CC(=O)O[C@H]1C)C[C@H](O)[C@H]2C(=O)O,Original,,,,,,,,
AMPICILLIN,0,,1,Most,1,Most,0,,0,,0,,0,,0,,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O,cc1(c)s[c@@h]2[c@h](nc(=o)[c@h](n)c3ccccc3)c(=o)n2[c@h]1c(=o)o,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O,Original,,,,,,,,
AMPICILLIN SODIUM,0,,1,Most,1,Most,0,,0,,0,,0,,0,,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O,cc1(c)s[c@@h]2[c@h](nc(=o)[c@h](n)c3ccccc3)c(=o)n2[c@h]1c(=o)o,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O,Original,,,,,,,,
ANAGRELIDE HYDROCHLORIDE,1,Most,1,,1,Most,1,Most,1,Most,1,,1,Most,1,Most,O=C1CN2Cc3c(ccc(Cl)c3Cl)N=C2N1,o=c1cn2cc3c(ccc(cl)c3cl)n=c2n1,O=C1CN2Cc3c(ccc(Cl)c3Cl)N=C2N1,Original,,,,,,,,
ANASTROZOLE,1,Most,1,Most,1,,1,Most,1,Most,0,,0,,0,,CC(C)(C#N)c1cc(Cn2cncn2)cc(C(C)(C)C#N)c1,cc(c)(c#n)c1cc(cn2cncn2)cc(c(c)(c)c#n)c1,CC(C)(C#N)c1cc(Cn2cncn2)cc(C(C)(C)C#N)c1,Original,,,,,,,,
ANGIOTENSIN II,1,Most,0,,1,Most,0,,0,,0,,0,,0,,CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](N)CC(=O)O)C(C)C)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(=O)O,cc[c@h](c)[c@h](nc(=o)[c@h](cc1ccc(o)cc1)nc(=o)[c@@h](nc(=o)[c@h](cccnc(=n)n)nc(=o)[c@@h](n)cc(=o)o)c(c)c)c(=o)n[c@@h](cc1cnc[nh]1)c(=o)n1ccc[c@h]1c(=o)n[c@@h](cc1ccccc1)c(=o)o,CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](N)CC(=O)O)C(C)C)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(=O)O,Original,,,,,,,,
